-=row,  =center, =prec, =flex,=resl,=team, =pmat, =rely, =data, =cplx,=ruse, =docu,  =time,  =stor,  =pvol,  =acap,  =pcap, =pcon,  =apex,  =plex,  =ltex,  =tool, =site,  =sced,   $kloc,  <effort, -defects, -months
1,1,    h,    h,    h,   vh,     n,     n,     l,     h,    n,    n,     n,     n,     l,     h,    vh,    n,    vh,     n,     h,     n,    n,     n,20,72,566,14.4
2,1,    h,    h,    h,   vh,     n,     n,     l,     h,    n,    n,     n,     n,     l,     h,     h,    n,    vh,     n,     h,     n,    n,     n,6,24,188,9.9
3,1,    h,    h,    h,   vh,     n,     n,     l,     h,    n,    n,     n,     n,     l,     h,    vh,    n,    vh,     n,     h,     n,    n,     n,100,360,2832,25.2
4,1,    h,    h,    h,   vh,     n,     n,     l,     h,    n,    n,     n,     n,     l,     h,     n,    n,    vh,     n,     l,     n,    n,     n,11.3,36,456,12.8
5,1,    h,    h,    h,   vh,     n,     n,     l,     h,    n,    n,     n,     n,     h,     h,     h,    n,     h,     l,    vl,     n,    n,     n,100,215,5434,30.1
6,1,    h,    h,    h,   vh,     n,     n,     l,     h,    n,    n,     n,     n,     l,     h,     h,    n,    vh,     n,     h,     n,    n,     n,20,48,626,15.1
7,1,    h,    h,    h,   vh,     n,     n,     l,     h,    n,    n,     n,     n,     l,     h,     n,    n,     n,     n,    vl,     n,    n,     n,100,360,4342,28
8,2,    h,    h,    h,   vh,     h,     n,    vh,     h,    n,    n,    vh,    vh,     l,    vh,     n,    n,     h,     l,     h,     n,    n,     l,12.8,62,636,13.6
9,1,    h,    h,    h,   vh,     n,     n,     l,     h,    n,    n,     n,    xh,     l,     h,    vh,    n,    vh,     n,     h,     n,    n,     n,150,324,4868,32.5
10,2,    h,    h,    h,   vh,     h,     n,    vh,     h,    n,    n,    vh,    vh,     l,    vh,     n,    n,     h,     l,     h,     n,    n,     l,32.6,170,1619,18.7
11,1,    h,    h,    h,   vh,     n,     n,     l,     h,    n,    n,     n,     n,     l,     h,     h,    n,     h,     n,     h,     n,    n,     n,31.5,60,986,17.6
12,2,    h,    h,    h,   vh,     h,     n,    vh,     h,    n,    n,    vh,    vh,     l,    vh,     n,    n,     h,     l,     h,     n,    n,     l,35.5,192,1763,19.3
13,1,    h,    h,    h,   vh,     n,     n,     l,     h,    n,    n,     n,     n,     l,     h,     h,    n,    vh,     n,     h,     n,    n,     n,15,48,470,13.6
14,2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,5.5,18,172,9.1
15,2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,10.4,50,324,11.2
16,2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,14,60,437,12.4
17,2,    h,    h,    h,   vh,     n,     h,     n,     h,    n,    n,     n,     n,     n,     n,     n,    n,     n,     n,     n,     n,    n,     n,6.5,42,290,12
18,5,    h,    h,    h,   vh,     l,     n,     h,     h,    n,    n,    vh,     n,     n,     h,     h,    n,     h,     n,     h,     n,    n,     n,78,571.4,4815,30.5
